image,block_size,channel,npcr_percent,uaci_percent,plaintext_change,normalization
coffee,8,R,3.118896484375,0.6127600576363358,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,8,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,8,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,8,RGB_mean,1.0396321614583333,0.20425335254544527,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
coffee,16,R,0.8052825927734375,0.15823663449754902,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,16,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,16,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,16,RGB_mean,0.2684275309244792,0.05274554483251634,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
coffee,32,R,0.19378662109375,0.03941554649203431,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,32,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,32,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,32,RGB_mean,0.06459554036458333,0.013138515497344771,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
coffee,64,R,0.0484466552734375,0.010332593730851715,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,64,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,64,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
coffee,64,RGB_mean,0.016148885091145832,0.003444197910283905,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
chelsea,8,R,3.147125244140625,0.8986708697150736,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,8,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,8,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,8,RGB_mean,1.049041748046875,0.2995569565716912,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
chelsea,16,R,0.78125,0.2242398729511336,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,16,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,16,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,16,RGB_mean,0.2604166666666667,0.07474662431704453,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
chelsea,32,R,0.1953125,0.06162456437653186,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,32,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,32,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,32,RGB_mean,0.06510416666666667,0.020541521458843953,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
chelsea,64,R,0.048828125,0.017193064970128676,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,64,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,64,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
chelsea,64,RGB_mean,0.016276041666666668,0.0057310216567095585,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
rocket,8,R,3.1238555908203125,0.4299178777956495,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,8,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,8,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,8,RGB_mean,1.0412851969401042,0.1433059592652165,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
rocket,16,R,0.8159637451171875,0.11450524423636643,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,16,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,16,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,16,RGB_mean,0.2719879150390625,0.03816841474545548,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
rocket,32,R,0.1926422119140625,0.02604017070695466,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,32,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,32,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,32,RGB_mean,0.06421407063802083,0.00868005690231822,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
rocket,64,R,0.04730224609375,0.007560580384497549,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,64,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,64,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
rocket,64,RGB_mean,0.015767415364583332,0.002520193461499183,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
hubble_deep_field,8,R,3.0651092529296875,0.16688178567325368,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,8,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,8,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,8,RGB_mean,1.0217030843098958,0.05562726189108456,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
hubble_deep_field,16,R,0.832366943359375,0.04425647212009804,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,16,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,16,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,16,RGB_mean,0.2774556477864583,0.014752157373366014,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
hubble_deep_field,32,R,0.19073486328125,0.010667688706341912,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,32,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,32,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,32,RGB_mean,0.06357828776041667,0.003555896235447304,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
hubble_deep_field,64,R,0.0469207763671875,0.001929788028492647,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,64,G,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,64,B,0.0,0.0,top-left pixel in each block changed by +/-1 in R channel,"per channel W*H, Eqs. (15)-(17)"
hubble_deep_field,64,RGB_mean,0.0156402587890625,0.0006432626761642157,top-left pixel in each block changed by +/-1 in R channel,mean of per-channel NPCR/UACI rows
