image,block_size,encryption_embedding_seconds,decryption_recovery_seconds,file_io_included
coffee,8,2.623942700214684,2.7178565999493003,False
coffee,16,2.4963325997814536,2.492803799919784,False
coffee,32,2.1713337004184723,2.3635671995580196,False
coffee,64,2.6007694993168116,2.41526859998703,False
chelsea,8,2.139537399634719,2.36380030028522,False
chelsea,16,2.261287299916148,2.1351944003254175,False
chelsea,32,2.294391400180757,2.1068724002689123,False
chelsea,64,1.9926223000511527,1.9889318998903036,False
rocket,8,2.1068548001348972,2.148415300063789,False
rocket,16,2.4826360000297427,2.970998300239444,False
rocket,32,3.2156012998893857,3.1259415997192264,False
rocket,64,2.8235578006133437,2.6903734002262354,False
hubble_deep_field,8,1.9902667999267578,1.9205770995467901,False
hubble_deep_field,16,1.842437599785626,1.8822013000026345,False
hubble_deep_field,32,1.707399600185454,1.686489699408412,False
hubble_deep_field,64,1.6861560000106692,1.668283199891448,False
