image,block_size,psnr,ssim,max_abs_error,exact_recovery,npcr_percent,uaci_percent,encryption_embedding_seconds,decryption_recovery_seconds
coffee,8,inf,1.0,0,True,1.0396321614583333,0.20425335254544527,2.2804314997047186,2.2578370003029704
coffee,16,inf,1.0,0,True,0.2684275309244792,0.05274554483251634,2.0074188001453876,2.0596038000658154
coffee,32,inf,1.0,0,True,0.06459554036458333,0.013138515497344771,1.9872080003842711,2.0606792997568846
coffee,64,inf,1.0,0,True,0.016148885091145832,0.003444197910283905,1.9798897998407483,2.0438839001581073
chelsea,8,inf,1.0,0,True,1.049041748046875,0.2995569565716912,1.96661480050534,1.9370390996336937
chelsea,16,inf,1.0,0,True,0.2604166666666667,0.07474662431704453,1.8619109997525811,1.8584976000711322
chelsea,32,inf,1.0,0,True,0.06510416666666667,0.020541521458843953,1.8651933996006846,1.860517700202763
chelsea,64,inf,1.0,0,True,0.016276041666666668,0.0057310216567095585,1.859841000288725,1.8504865001887083
rocket,8,inf,1.0,0,True,1.0412851969401042,0.1433059592652165,1.9191717002540827,1.9582100994884968
rocket,16,inf,1.0,0,True,0.2719879150390625,0.03816841474545548,1.972065200097859,1.914581200107932
rocket,32,inf,1.0,0,True,0.06421407063802083,0.00868005690231822,1.8694278998300433,1.8888296000659466
rocket,64,inf,1.0,0,True,0.015767415364583332,0.002520193461499183,1.8677404001355171,1.8624943997710943
hubble_deep_field,8,inf,1.0,0,True,1.0217030843098958,0.05562726189108456,1.910768199712038,1.8618449000641704
hubble_deep_field,16,inf,1.0,0,True,0.2774556477864583,0.014752157373366014,1.852088499814272,1.8229088000953197
hubble_deep_field,32,inf,1.0,0,True,0.06357828776041667,0.003555896235447304,1.8741742996498942,1.8591820001602173
hubble_deep_field,64,inf,1.0,0,True,0.0156402587890625,0.0006432626761642157,1.8626085007563233,1.8754615001380444
