stage,block_size,block_row,block_col,channel,before_sum,after_sum,abs_difference
rdh,8,0,0,0,5143,5146,3
rdh,8,0,0,1,6771,6773,2
rdh,8,0,0,2,8399,8402,3
rdh,8,0,8,0,5132,5136,4
rdh,8,0,8,1,6820,6825,5
rdh,8,0,8,2,8508,8512,4
rdh,8,0,16,0,5760,5759,1
rdh,8,0,16,1,7680,7679,1
rdh,8,0,16,2,9600,9599,1
rdh,8,0,24,0,5760,5760,0
rdh,8,0,24,1,7680,7678,2
rdh,8,0,24,2,9600,9600,0
rdh,8,0,32,0,5760,5757,3
rdh,8,0,32,1,7680,7677,3
rdh,8,0,32,2,9600,9598,2
rdh,8,0,40,0,5760,5754,6
rdh,8,0,40,1,7680,7674,6
rdh,8,0,40,2,9600,9594,6
rdh,8,0,48,0,5760,5757,3
rdh,8,0,48,1,7680,7676,4
rdh,8,0,48,2,9600,9596,4
rdh,8,0,56,0,5760,5758,2
rdh,8,0,56,1,7680,7678,2
rdh,8,0,56,2,9600,9599,1
rdh,8,8,0,0,5760,5760,0
rdh,8,8,0,1,7680,7680,0
rdh,8,8,0,2,9600,9600,0
rdh,8,8,8,0,2560,2560,0
rdh,8,8,8,1,11520,11520,0
rdh,8,8,8,2,5760,5760,0
rdh,8,8,16,0,2560,2560,0
rdh,8,8,16,1,11520,11520,0
rdh,8,8,16,2,5760,5760,0
rdh,8,8,24,0,5760,5760,0
rdh,8,8,24,1,7680,7680,0
rdh,8,8,24,2,9600,9600,0
rdh,8,8,32,0,5760,5760,0
rdh,8,8,32,1,7680,7680,0
rdh,8,8,32,2,9600,9600,0
rdh,8,8,40,0,5760,5760,0
rdh,8,8,40,1,7680,7680,0
rdh,8,8,40,2,9600,9600,0
rdh,8,8,48,0,5760,5760,0
rdh,8,8,48,1,7680,7680,0
rdh,8,8,48,2,9600,9600,0
rdh,8,8,56,0,5760,5760,0
rdh,8,8,56,1,7680,7680,0
rdh,8,8,56,2,9600,9600,0
rdh,8,16,0,0,5760,5760,0
rdh,8,16,0,1,7680,7680,0
rdh,8,16,0,2,9600,9600,0
rdh,8,16,8,0,2560,2560,0
rdh,8,16,8,1,11520,11520,0
rdh,8,16,8,2,5760,5760,0
rdh,8,16,16,0,2560,2560,0
rdh,8,16,16,1,11520,11520,0
rdh,8,16,16,2,5760,5760,0
rdh,8,16,24,0,5760,5760,0
rdh,8,16,24,1,7680,7680,0
rdh,8,16,24,2,9600,9600,0
rdh,8,16,32,0,5600,5600,0
rdh,8,16,32,1,8320,8320,0
rdh,8,16,32,2,10240,10240,0
rdh,8,16,40,0,5120,5120,0
rdh,8,16,40,1,10240,10240,0
rdh,8,16,40,2,12160,12160,0
rdh,8,16,48,0,5120,5120,0
rdh,8,16,48,1,10240,10240,0
rdh,8,16,48,2,12160,12160,0
rdh,8,16,56,0,5760,5760,0
rdh,8,16,56,1,7680,7680,0
rdh,8,16,56,2,9600,9600,0
rdh,8,24,0,0,5760,5760,0
rdh,8,24,0,1,7680,7680,0
rdh,8,24,0,2,9600,9600,0
rdh,8,24,8,0,5760,5760,0
rdh,8,24,8,1,7680,7680,0
rdh,8,24,8,2,9600,9600,0
rdh,8,24,16,0,5760,5760,0
rdh,8,24,16,1,7680,7680,0
rdh,8,24,16,2,9600,9600,0
rdh,8,24,24,0,5760,5760,0
rdh,8,24,24,1,7680,7680,0
rdh,8,24,24,2,9600,9600,0
rdh,8,24,32,0,5440,5440,0
rdh,8,24,32,1,8960,8960,0
rdh,8,24,32,2,10880,10880,0
rdh,8,24,40,0,4480,4480,0
rdh,8,24,40,1,12800,12800,0
rdh,8,24,40,2,14720,14720,0
rdh,8,24,48,0,4480,4480,0
rdh,8,24,48,1,12800,12800,0
rdh,8,24,48,2,14720,14720,0
